participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,so let's go for o,1491214877.18977
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,sure you are,1491214880.15322
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay let's see,1491214883.16959
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,lets pick a,1491214884.74455
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,okay :D,1491214888.41213
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,"although I did think it might be ""a""",1491214894.11578
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,hmm,1491214931.23818
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,I would say e,1491214940.74827
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,im quite sre it was o,1491214946.07594
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,I didn't think that sounded like a vowel at all,1491214947.19379
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,or u,1491214947.41187
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,no,1491214952.7395
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,agreed,1491214955.06577
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,You pick,1491214958.00571
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,sounded alien,1491214960.04462
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,"but it didn't sound like the ""a"" from before",1491214961.27772
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,no.. so maybe u? We haven't tried that,1491214975.61261
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,"maybe it's ""e"" like you chose before`?",1491214985.04766
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,hmm,1491214990.49301
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,we can try u,1491214998.42923
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,okay,1491215010.6952
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,i think you're right,1491215061.58329
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,too much noise ,1491215065.75073
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,umm i'm not sure either,1491215067.64746
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,i just chose something,1491215072.71385
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,me aswell,1491215077.11588
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay,1491215079.81784
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,you choose,1491215084.38089
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,rock paper scissors?,1491215084.82168
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,hahaha,1491215087.52499
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,type your choice now,1491215088.96167
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,rock,1491215091.47132
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,A,1491215092.85314
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,Or maybe even o? ,1491215097.28877
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,Not sure,1491215100.89589
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay we'll go with A,1491215102.83844
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,i have no clue,1491215116.85507
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,could be aither one,1491215120.81347
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,not a maybe,1491215125.3391
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,that was either E or I,1491215125.69059
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay let's go with your choice,1491215127.56908
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,So E,1491215136.64819
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,since I obviously can't distinguish ,1491215136.6662
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,"if we try o, we will know which one it was!",1491215139.16506
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,sure lets do that,1491215152.73446
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,Again,1491215161.49631
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,No clue,1491215163.55369
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,A,1491215164.54591
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,No idea,1491215194.48952
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,i almost picked o as well,1491215197.76727
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,so lets just do that,1491215202.09145
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,ok,1491215204.57687
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,Just - before it was wrong - so maybe o this time?,1491215213.07028
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,it's a bit hard to know which letter,1491215216.3457
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,yeah maybe,1491215221.33639
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,not sure,1491215236.02432
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,quite certain it was e,1491215241.40867
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,okey lets go with that,1491215246.81587
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,goat sound,1491215248.16576
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,there was too much noise then,1491215251.49694
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,haha what was the goat sound before?,1491215257.34076
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,also e,1491215262.50713
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay lets try e,1491215270.626
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,but could be different goats,1491215271.3251
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,Funny how I hear most things as e and you hear u,1491215324.56372
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,I guess we were both choosing a earlier?,1491215328.09184
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,yep,1491215330.0477
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,yes,1491215335.95025
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,u is my default answer,1491215337.22927
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,hmm,1491215339.2839
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,haha,1491215341.72871
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,but lets just go with e,1491215349.81774
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,laughing smiley,1491215350.5191
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,e,1491215355.23889
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,what should we choose?,1491215366.05631
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,"we'll try o this time, since E has been wrong every time?",1491215382.94502
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay I guess,1491215388.68583
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,haa,1491215404.5518
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,here we go again,1491215406.14095
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,which one?,1491215412.06986
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,You were right last time!,1491215414.83244
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,now what,1491215415.41213
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,how certain are yo?,1491215415.80121
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,lets go with o again,1491215420.60706
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,like 0.1,1491215422.10463
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,it was wrong last time,1491215430.33747
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,maybe this time it will be right,1491215433.6187
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,so ... probabalistically speaking you're rght this time?,1491215439.50685
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,well it's random every turn,1491215455.10655
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,i wasn't sure,1491215456.87242
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,it was,1491215457.9257
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,how sure were you?,1491215461.0529
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay try e,1491215465.89752
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,0.5%,1491215466.72072
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,I don't remember the sound anymore,1491215469.68287
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,damn you statistics *shaking fist at heaven*,1491215470.94249
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,lets go with e,1491215478.91762
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,okay!,1491215482.46414
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,"I always hear an ""o"" for some reason",1491215495.96965
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,yes. im not sure at all.. should we go for o?,1491215515.11335
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,lets go for u since we havent done that ,1491215526.62739
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,much,1491215527.84281
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,ok,1491215531.33273
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,it was an ø,1491215572.6377
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,You pick,1491215575.48641
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,"i heard ""a"" too but I thought it was unlikely cause we just had it",1491215576.26142
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,im sure of it,1491215576.79854
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,Can't answer ø,1491215581.77104
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,so A ?,1491215584.381
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,o is closest,1491215589.13209
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,But good to know that the script is utf-8 encoded,1491215594.05095
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,exactly,1491215601.78341
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,you decide,1491215615.0779
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,have we had I at all,1491215625.41819
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,no I dont think so,1491215631.33687
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,lets try it,1491215634.0378
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,What youre wearing??,1491215635.95921
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,ye,1491215637.09753
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,okay pick one,1491215651.35405
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,umm,1491215659.7735
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,I guess it could be either one,1491215665.17255
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,I heard the loud laughter of Stine and the girls,1491215670.14522
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,no letter,1491215680.2932
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,since we always guess when we've both choosen 'o' and 'e',1491215685.71807
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay lets go with e then,1491215691.23499
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,yep,1491215694.22483
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,I think it could've been u,1491215724.57584
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,lol,1491215729.73102
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,lots of layers,1491215731.59383
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,me?,1491215735.44174
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,that guy needs voice training,1491215748.10037
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,i dont remember it anymore,1491215767.21574
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,I'll pick u,1491215774.33753
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,just pick on,1491215774.59442
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,now,1491215778.94541
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,rock paper scissors,1491215783.90908
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,in,1491215785.6737
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,3,1491215786.52665
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,2,1491215787.74973
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,1,1491215789.15069
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,0,1491215790.22277
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,rock,1491215790.42096
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,scissors,1491215791.6161
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,you win,1491215794.90295
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,e,1491215798.74905
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,okay A,1491215799.43835
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,oh E,1491215803.15589
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,right,1491215806.56517
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,lol,1491215807.47785
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,surprise,1491215809.51806
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,The two sounded identical and o was wrong,1491215819.18643
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,okay so e,1491215829.80237
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,ok,1491215833.20482
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,I don't think Malte has included 'i' in the experiment,1491215840.70122
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,Nope,1491215845.56499
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,because it's too obvious,1491215846.4974
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,could be,1491215849.69428
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,haha,1491215850.11626
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,he just put it there to trick us,1491215852.37639
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,u could be right,1491215854.68016
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,u could too,1491215859.75035
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,would be something he would do,1491215864.17413
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,as in u not in you,1491215864.34051
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,but the answer could also be 'e'?,1491215866.07809
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,darn it malte,1491215870.20645
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,All this confidence in one place,1491215881.5678
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,Should rename the game,1491215886.77165
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,let's take e,1491215895.3278
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,uu pick,1491215899.90855
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,ii am always right,1491215906.41612
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,n aa,1491215913.13305
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,o_o,1491215914.93214
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,ookay,1491215923.51709
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,i:,1491215933.36213
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,e is right,1491215935.50082
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay,1491215939.69986
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,not i?,1491215940.78972
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,i didn't listen that well,1491215943.56759
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,!i,1491215949.25406
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,I'm moving on now,1491215954.76894
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,hmm,1491215956.49866
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,sure,1491215957.57819
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,final decision,1491215969.42336
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,u,1491215971.76759
